form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,source,page,language_id
kommoirangmantak039,mu,2.sg.1.sg.fut.aff,na-na-mu-sik-ni,na-na-Σ-sik-ni,na+na+Σ+sik+ni,n a n a Σ s i k n i,n a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak040,mu,2.sg.1.pl.excl.fut.aff,na-mu-na-te,na-Σ-na-te,na+Σ+na+te,n a Σ n a t e,n a + Σ + n a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak041,mu,2.sg.1.pl.excl.fut.aff,na-na-mu-sik-ni,na-na-Σ-sik-ni,na+na+Σ+sik+ni,n a n a Σ s i k n i,n a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak042,mu,2.pl.1.sg.fut.aff,na-mu-ning-te,na-Σ-ning-te,na+Σ+ning+te,n a Σ n i ŋ t e,n a + Σ + n i ŋ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak043,mu,2.pl.1.sg.fut.aff,ning-na-mu-sik-ni,ning-na-Σ-sik-ni,ning+na+Σ+sik+ni,n i ŋ n a Σ s i k n i,n i ŋ + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak044,mu,2.pl.1.pl.excl.fut.aff,na-mu-ning-te,na-Σ-ning-te,na+Σ+ning+te,n a Σ n i ŋ t e,n a + Σ + n i ŋ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak045,mu,2.pl.1.pl.excl.fut.aff,ning-na-mu-sik-ni,ning-na-Σ-sik-ni,ning+na+Σ+sik+ni,n i ŋ n a Σ s i k n i,n i ŋ + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak046,mu,2.sg.3.sg.fut.aff,mu-na-te,Σ-na-te,Σ+na+te,Σ n a t e,Σ + n a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak047,mu,2.sg.3.sg.fut.aff,na-na-mu-sik-ni,na-na-Σ-sik-ni,na+na+Σ+sik+ni,n a n a Σ s i k n i,n a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak048,mu,2.sg.3.pl.fut.aff,mu-na-te,Σ-na-te,Σ+na+te,Σ n a t e,Σ + n a + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak049,mu,2.sg.3.pl.fut.aff,na-na-mu-sik-ni,na-na-Σ-sik-ni,na+na+Σ+sik+ni,n a n a Σ s i k n i,n a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak050,mu,2.pl.3.sg.fut.aff,mu-ning-te,Σ-ning-te,Σ+ning+te,Σ n i ŋ t e,Σ + n i ŋ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak051,mu,2.pl.3.sg.fut.aff,ning-na-mu-sik-ni,ning-na-Σ-sik-ni,ning+na+Σ+sik+ni,n i ŋ n a Σ s i k n i,n i ŋ + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak052,mu,2.pl.3.pl.fut.aff,mu-ning-te,Σ-ning-te,Σ+ning+te,Σ n i ŋ t e,Σ + n i ŋ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak053,mu,2.pl.3.pl.fut.aff,ning-na-mu-sik-ni,ning-na-Σ-sik-ni,ning+na+Σ+sik+ni,n i ŋ n a Σ s i k n i,n i ŋ + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak054,che,3.sg.fut.aff,che-te,Σ-te,Σ+te,Σ t e,Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak055,che,3.sg.fut.aff,a-che-sik-ni,a-Σ-sik-ni,a+Σ+sik+ni,a Σ s i k n i,a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak056,che,3.pl.fut.aff,che-in-te,Σ-in-te,Σ+in+te,Σ i n t e,Σ + i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak057,che,3.pl.fut.aff,in-che-sik-ni,in-Σ-sik-ni,in+Σ+sik+ni,i n Σ s i k n i,i n + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak058,mu,3.sg.1.sg.fut.aff,na-mu-te,na-Σ-te,na+Σ+te,n a Σ t e,n a + Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak059,mu,3.sg.1.sg.fut.aff,a-na-mu-sik-ni,a-na-Σ-sik-ni,a+na+Σ+sik+ni,a n a Σ s i k n i,a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak060,mu,3.sg.1.pl.excl.fut.aff,na-mu-te,na-Σ-te,na+Σ+te,n a Σ t e,n a + Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak061,mu,3.sg.1.pl.excl.fut.aff,a-na-mu-sik-ni,a-na-Σ-sik-ni,a+na+Σ+sik+ni,a n a Σ s i k n i,a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak062,mu,3.sg.1.pl.incl.fut.aff,na-mu-te,na-Σ-te,na+Σ+te,n a Σ t e,n a + Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak063,mu,3.sg.1.pl.incl.fut.aff,a-na-mu-sik-ni,a-na-Σ-sik-ni,a+na+Σ+sik+ni,a n a Σ s i k n i,a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak064,mu,3.pl.1.sg.fut.aff,na-mu-in-te,na-Σ-in-te,na+Σ+in+te,n a Σ i n t e,n a + Σ + i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak065,mu,3.pl.1.sg.fut.aff,in-na-mu-sik-ni,in-na-Σ-sik-ni,in+na+Σ+sik+ni,i n n a Σ s i k n i,i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak066,mu,3.pl.1.pl.excl.fut.aff,na-mu-in-te,na-Σ-in-te,na+Σ+in+te,n a Σ i n t e,n a + Σ + i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak067,mu,3.pl.1.pl.excl.fut.aff,in-na-mu-sik-ni,in-na-Σ-sik-ni,in+na+Σ+sik+ni,i n n a Σ s i k n i,i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak068,mu,3.pl.1.pl.incl.fut.aff,na-mu-in-te,na-Σ-in-te,na+Σ+in+te,n a Σ i n t e,n a + Σ + i n + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak069,mu,3.pl.1.pl.incl.fut.aff,in-na-mu-sik-ni,in-na-Σ-sik-ni,in+na+Σ+sik+ni,i n n a Σ s i k n i,i n + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak070,mu,3.sg.2.sg.fut.aff,na-mu-te,na-Σ-te,na+Σ+te,n a Σ t e,n a + Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak071,mu,3.sg.2.sg.fut.aff,a-na-mu-sik-ni,a-na-Σ-sik-ni,a+na+Σ+sik+ni,a n a Σ s i k n i,a + n a + Σ + s i k + n i,unspecified,certain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
kommoirangmantak072,mu,3.sg.2.pl.fut.aff,na-mu-te,na-Σ-te,na+Σ+te,n a Σ t e,n a + Σ + t e,unspecified,uncertain_fut,Kanshouwa2026MoirangMantakKom,nopage,kommoirangmantak
